Length (mm) 	Fiber 1 (microstrain)	Fiber 3 (microstrain)	Fiber 4 (microstrain)	Fiber 5 (microstrain)	Fiber 6 (microstrain)	
103.5596	186.875504	195.416458	199.600876	365.277435	501.234894	
107.5430	386.594604	441.823578	462.916718	514.023499	590.445190	
111.5254	454.427643	484.228668	535.250427	513.949890	624.440002	
115.5088	479.935364	513.863831	535.240051	535.195496	632.866882	
119.4922	484.248352	509.714661	573.485657	547.966492	628.653442	
123.4746	484.229736	518.210022	7114.891110	530.855530	649.945740	
127.4580	496.969604	535.153992	624.336304	564.975830	688.219299	
131.4414	509.772705	552.256653	611.569458	598.985168	756.065796	
135.4238	615.856506	637.185059	722.113525	747.606750	811.300964	
139.4072	739.020203	777.289612	807.036682	853.754822	857.962036	
143.3906	972.703003	938.687378	900.456360	1083.108030	883.552734	
147.3731	1274.269530	1214.868650	1010.911190	1248.841670	925.996277	
151.3565	1448.380130	1350.751340	1044.864500	1176.663450	896.318604	
155.3399	1172.405400	1074.717410	993.862488	930.154663	832.452209	
159.3223	785.807739	811.371521	824.099976	773.064758	832.534180	
163.3057	654.207886	679.729126	807.022217	683.946777	726.381897	
167.2891	577.674255	624.447266	717.903198	607.401672	726.330078	
171.2715	560.764404	556.455566	3593.558110	573.342529	671.178833	
175.2549	505.506409	539.474243	628.695984	543.708435	649.910461	
179.2383	475.753052	501.214142	535.289856	526.625488	615.892822	
183.2207	484.236969	514.040161	577.663818	496.956116	586.096924	
187.2041	424.775879	424.817352	530.928101	386.522003	480.011108	
191.1875	267.715973	263.391541	0.854511	182.610214	233.629898	
195.1699	-63.658985	-38.199955	33.935692	-110.393669	-148.668289	
199.1533	-118.982330	-106.133560	-195.311722	-118.994781	-212.410233	
