Acquired on 3/15/2018 at 20:11:26
Calibrated on 5/6/2016 at 10:33:04
Device Descriptor:  [none]
Scan Range (nm):  1540.255  --  1561.184
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100299
Frequency domain window was not applied to measurement data.
Gage length:  0.398307 cm
Sensor spacing:  0.398307 cm
Strain coefficients
	0.000000
	-6.668000
	0.000000
	0.000000
	0.000000
Number of Data Points (in this file):  100
NOTE: Data stored in this file is not decimated.

Length (mm)	Strain (microstrain)	
1.61436504E+004	2.97046204E+001	
1.61476338E+004	-4.22070265E+000	
1.61516162E+004	3.40020638E+001	
1.61555996E+004	4.25181341E+000	
1.61595830E+004	2.96921768E+001	
1.61635654E+004	4.23107290E+000	
1.61675488E+004	2.55046597E+001	
1.61715322E+004	2.54621410E+001	
1.61755146E+004	-7.73133179E+002	
1.61794980E+004	2.54393253E+001	
1.61834814E+004	2.97388420E+001	
1.61874639E+004	1.70839939E+001	
1.61914473E+004	2.55212517E+001	
1.61954307E+004	2.13275127E+001	
1.61994131E+004	2.13078079E+001	
1.62033965E+004	8.41236877E+000	
1.62073799E+004	-8.50777531E+000	
1.62113623E+004	2.97129173E+001	
1.62153457E+004	-8.47251701E+000	
1.62193291E+004	2.54776974E+001	
1.62233115E+004	8.44555283E+000	
1.62272949E+004	-4.32647943E+000	
1.62312783E+004	-4.14811075E-002	
1.62352607E+004	-1.05339404E+003	
1.62392441E+004	4.28707266E+000	
1.62432275E+004	1.70321426E+001	
1.62472100E+004	3.82518005E+001	
1.62511934E+004	5.10445747E+001	
1.62551768E+004	7.22175674E+001	
1.62591592E+004	1.01945007E+002	
1.62631426E+004	3.60630518E+003	
1.62671260E+004	0.00000000E+000	
1.62711084E+004	-6.84438273E-002	
1.62750918E+004	1.23606543E+003	
1.62790752E+004	2.54963646E+001	
1.62830576E+004	6.37108383E+001	
1.62870410E+004	0.00000000E+000	
1.62910244E+004	-7.64310150E+001	
1.62950068E+004	-1.18930481E+002	
1.62989902E+004	3.82289478E+003	
1.63029736E+004	-9.34486389E+001	
1.63069561E+004	1.10469376E+002	
1.63109395E+004	1.52942917E+002	
1.63149229E+004	1.27383301E+002	
1.63189053E+004	1.57199921E+002	
1.63228887E+004	1.27421677E+002	
1.63268721E+004	1.23172966E+002	
1.63308545E+004	1.57161545E+002	
1.63348379E+004	1.27413368E+002	
1.63388213E+004	1.61410248E+002	
1.63428037E+004	1.91106583E+002	
1.63467871E+004	2.12314819E+002	
1.63507705E+004	2.16568710E+002	
1.63547529E+004	2.20798752E+002	
1.63587363E+004	1.91087906E+002	
1.63627197E+004	1.69868256E+002	
1.63667021E+004	1.44378113E+002	
1.63706855E+004	1.57092072E+002	
1.63746689E+004	1.57110733E+002	
1.63786514E+004	1.27368774E+002	
1.63826348E+004	1.23095184E+002	
1.63866172E+004	1.10410263E+002	
1.63906016E+004	8.91885300E+001	
1.63945840E+004	9.34050827E+001	
1.63985664E+004	-2.71850586E+002	
1.64025508E+004	-2.33549011E+002	
1.64065332E+004	-2.46333496E+002	
1.64105156E+004	-1.82624725E+002	
1.64145000E+004	-1.27465218E+002	
1.64184824E+004	-6.37502441E+001	
1.64224648E+004	7.60311340E+002	
1.64264492E+004	2.13005486E+001	
1.64304316E+004	4.47266895E+003	
1.64344141E+004	1.69305134E+001	
1.64383984E+004	-2.67596710E+002	
1.64423809E+004	-1.70300694E+001	
1.64463633E+004	-2.12051430E+001	
1.64503477E+004	-8.48288631E+000	
1.64543301E+004	-8.41029453E+000	
1.64583125E+004	1.69968834E+001	
1.64622969E+004	2.71701276E-001	
1.64662793E+004	1.28031435E+001	
1.64702617E+004	-1.27409220E+001	
1.64742461E+004	2.12009945E+001	
1.64782285E+004	8.63429260E+000	
1.64822109E+004	8.50570107E+000	
1.64861953E+004	1.80442825E-001	
1.64901777E+004	4.19581413E+000	
1.64941602E+004	1.70383663E+001	
1.64981445E+004	8.46214581E+000	
1.65021270E+004	1.27678852E+001	
1.65061094E+004	-1.61458984E+002	
1.65100938E+004	5.80735467E-002	
1.65140762E+004	7.88141042E-002	
1.65180586E+004	1.70715504E+001	
1.65220430E+004	2.13046970E+001	
1.65260254E+004	2.54808083E+001	
1.65300078E+004	1.27575150E+001	
1.65339922E+004	1.69076996E+001	
1.65379746E+004	1.69574757E+001	
