Acquired on 3/15/2018 at 11:50:02
Calibrated on 5/6/2016 at 10:33:04
Device Descriptor:  [none]
Scan Range (nm):  1540.255  --  1561.184
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100299
Frequency domain window was not applied to measurement data.
Gage length:  0.398307 cm
Sensor spacing:  0.398307 cm
Strain coefficients
	0.000000
	-6.668000
	0.000000
	0.000000
	0.000000
Number of Data Points (in this file):  100
NOTE: Data stored in this file is not decimated.

Length (mm)	Strain (microstrain)	
1.61618809E+004	-4.27048016E+000	
1.61658643E+004	4.26633215E+000	
1.61698477E+004	-7.25919381E-002	
1.61738301E+004	8.54303455E+000	
1.61778135E+004	8.59488583E+000	
1.61817969E+004	1.26932192E+001	
1.61857793E+004	2.54248085E+001	
1.61897627E+004	8.47044182E+000	
1.61937461E+004	4.30159092E+000	
1.61977285E+004	-4.33270168E+000	
1.62017119E+004	8.48910904E+000	
1.62056953E+004	1.28259583E+001	
1.62096777E+004	-1.26890707E+001	
1.62136611E+004	8.48496056E+000	
1.62176445E+004	-1.47257924E-001	
1.62216270E+004	8.60732937E+000	
1.62256104E+004	1.26517370E-001	
1.62295938E+004	-2.12984753E+001	
1.62335762E+004	8.42066479E+000	
1.62375596E+004	-4.36796093E+000	
1.62415430E+004	4.45507097E+000	
1.62455254E+004	2.09479600E-001	
1.62495088E+004	8.56377411E+000	
1.62534922E+004	4.25523567E+001	
1.62574746E+004	5.09709473E+001	
1.62614580E+004	5.08817635E+001	
1.62654414E+004	2.11885509E+001	
1.62694238E+004	-4.34099770E+000	
1.62734072E+004	-1.36887655E-001	
1.62773906E+004	3.39916954E+001	
1.62813730E+004	1.14713928E+002	
1.62853564E+004	5.95056839E+001	
1.62893398E+004	-1.27865515E+001	
1.62933223E+004	-6.80041275E+001	
1.62973057E+004	-9.33428650E+001	
1.63012891E+004	-7.64579773E+001	
1.63052715E+004	1.99600876E+002	
1.63092549E+004	4.62916718E+002	
1.63132383E+004	5.35250427E+002	
1.63172207E+004	5.35240051E+002	
1.63212041E+004	5.73485657E+002	
1.63251875E+004	7.11489111E+003	
1.63291699E+004	6.24336304E+002	
1.63331533E+004	6.11569458E+002	
1.63371367E+004	7.22113525E+002	
1.63411191E+004	8.07036682E+002	
1.63451025E+004	9.00456360E+002	
1.63490859E+004	1.01091119E+003	
1.63530684E+004	1.04486450E+003	
1.63570518E+004	9.93862488E+002	
1.63610352E+004	8.24099976E+002	
1.63650176E+004	8.07022217E+002	
1.63690010E+004	7.17903198E+002	
1.63729844E+004	3.59355811E+003	
1.63769668E+004	6.28695984E+002	
1.63809502E+004	5.35289856E+002	
1.63849336E+004	5.77663818E+002	
1.63889160E+004	5.30928101E+002	
1.63928984E+004	8.54510784E-001	
1.63968828E+004	3.39356918E+001	
1.64008652E+004	-1.95311722E+002	
1.64048477E+004	-2.08063019E+002	
1.64088320E+004	-9.39547062E-001	
1.64128145E+004	-6.36817932E+001	
1.64167969E+004	-1.34813607E-001	
1.64207813E+004	3.25626701E-001	
1.64247637E+004	9.34040451E+001	
1.64287461E+004	5.09481354E+001	
1.64327305E+004	2.54486599E+001	
1.64367129E+004	2.54476223E+001	
1.64406953E+004	2.54839191E+001	
1.64446797E+004	4.54010725E+000	
1.64486621E+004	8.75873566E+000	
1.64526445E+004	2.12652893E+001	
1.64566289E+004	1.28155880E+001	
1.64606113E+004	-2.15701759E-001	
1.64645938E+004	7.50808060E-001	
1.64685781E+004	3.87848347E-001	
1.64725605E+004	1.74220651E-001	
1.64765430E+004	-4.35551628E-002	
1.64805273E+004	1.05776817E-001	
1.64845098E+004	3.73329967E-002	
1.64884922E+004	-2.28146091E-002	
1.64924766E+004	1.45183876E-001	
1.64964590E+004	4.97773290E-002	
1.65004414E+004	3.17330480E-001	
1.65044258E+004	1.71192532E+001	
1.65084082E+004	1.74220651E-001	
1.65123906E+004	4.41773832E-001	
1.65163750E+004	2.69627213E-001	
1.65203574E+004	3.85774314E-001	
1.65243398E+004	3.15256417E-001	
1.65283242E+004	2.07405537E-002	
1.65323066E+004	1.36887655E-001	
1.65362891E+004	8.29622149E-002	
1.65402734E+004	4.10662949E-001	
1.65442559E+004	-1.84590921E-001	
1.65482383E+004	3.11108306E-002	
1.65522227E+004	2.90367734E-002	
1.65562051E+004	8.73177350E-001	
